Timestamp,aX (g),aY (g),aZ (g),Temp (C),gX (�/s),gY (�/s),gZ (�/s)
16691,-0.03,-0.00,-1.03,28.20,2.24,0.60,-0.06
16795,-0.02,-0.00,-1.04,28.11,2.64,0.71,0.10
16900,-0.03,-0.00,-1.04,28.15,2.24,0.76,0.06
17004,-0.03,-0.00,-1.04,28.01,2.32,0.82,0.15
17108,-0.03,-0.00,-1.04,28.06,2.32,0.52,-0.01
17213,-0.03,-0.01,-1.04,28.11,2.29,0.65,0.02
17317,-0.03,-0.00,-1.04,28.15,2.39,0.67,0.03
17422,-0.03,-0.01,-1.03,28.11,2.27,0.78,0.11
17526,-0.03,-0.00,-1.05,28.15,2.18,0.69,0.21
17632,-0.02,-0.01,-1.05,28.11,2.42,0.89,-0.05
17736,-0.03,-0.01,-1.04,28.15,2.23,0.77,0.02
17841,-0.03,-0.00,-1.04,28.11,2.35,0.60,0.05
17945,-0.03,-0.01,-1.04,28.15,2.43,0.79,0.14
18050,-0.03,-0.01,-1.05,28.20,2.36,0.66,0.05
18154,-0.02,0.00,-1.04,28.15,2.18,0.92,0.09
18258,-0.03,0.00,-1.04,28.01,2.34,0.69,0.08
18363,-0.03,0.00,-1.04,28.20,2.24,0.86,0.14
18467,-0.02,-0.00,-1.04,28.06,2.63,0.60,0.15
18573,-0.03,-0.01,-1.05,28.11,2.49,0.79,0.08
18677,-0.02,-0.00,-1.05,28.15,2.21,1.06,0.13
18782,-0.03,-0.00,-1.04,28.11,2.16,0.66,0.14
18886,-0.03,-0.01,-1.04,28.15,2.47,0.55,0.09
18991,-0.02,-0.01,-1.04,28.11,2.24,0.66,0.24
19095,-0.03,-0.00,-1.04,28.11,2.34,0.79,0.15
19200,-0.02,-0.00,-1.04,28.11,2.27,0.81,0.02
19304,-0.03,-0.01,-1.04,28.20,2.16,0.82,-0.11
19408,-0.03,-0.00,-1.05,28.15,2.26,0.79,0.12
19514,-0.03,-0.00,-1.04,28.11,2.24,0.72,0.13
19618,-0.03,-0.00,-1.04,28.06,2.44,0.73,-0.11
19723,-0.03,-0.00,-1.05,28.11,2.23,0.82,0.06
19827,-0.03,-0.00,-1.04,28.06,2.27,0.73,0.24
19932,-0.03,-0.00,-1.04,28.20,2.24,0.69,0.08
20036,-0.03,-0.00,-1.04,28.06,2.45,0.84,0.12
20141,-0.03,-0.00,-1.04,28.06,2.24,0.66,0.10
20245,-0.02,-0.00,-1.04,28.11,2.26,0.68,0.15
20349,-0.03,-0.01,-1.05,28.15,2.21,0.77,0.04
20455,-0.03,-0.00,-1.05,28.15,2.28,0.75,0.18
20559,-0.02,0.00,-1.04,28.11,2.21,0.68,0.23
20664,-0.02,-0.00,-1.05,28.11,2.32,0.84,0.14
20768,-0.03,-0.01,-1.04,28.15,2.25,0.79,0.19
20873,-0.02,0.00,-1.04,28.06,2.37,0.85,0.14
20977,-0.03,-0.01,-1.04,28.11,2.29,0.77,0.01
21082,-0.03,-0.00,-1.04,28.20,2.27,0.69,-0.14
21186,-0.03,-0.01,-1.05,28.06,2.34,0.81,0.15
21292,-0.03,-0.01,-1.04,28.01,2.50,0.84,0.00
21396,-0.02,-0.00,-1.04,28.15,2.25,0.74,0.02
21500,-0.03,-0.00,-1.05,28.11,2.30,0.68,0.09
21605,-0.03,-0.01,-1.05,28.11,2.27,0.73,0.10
21709,-0.03,-0.00,-1.05,28.06,2.37,0.66,0.02
21814,-0.03,-0.01,-1.04,28.20,2.44,0.98,-0.02
21918,-0.02,-0.00,-1.04,28.06,2.11,0.91,0.00
22023,-0.03,-0.00,-1.04,28.11,2.33,0.89,0.08
22127,-0.02,0.00,-1.04,28.15,2.48,0.59,0.02
22232,-0.03,-0.00,-1.04,28.11,2.27,0.76,0.13
22337,-0.03,-0.01,-1.04,28.06,2.21,0.81,0.11
22441,-0.03,-0.01,-1.03,28.01,2.39,0.80,0.11
22546,-0.03,-0.01,-1.05,28.11,2.33,0.75,0.11
22650,-0.02,0.00,-1.04,28.15,2.05,0.83,0.16
22755,-0.02,0.00,-1.05,28.11,2.27,0.82,-0.01
22859,-0.02,-0.00,-1.04,28.11,2.34,0.69,0.11
22964,-0.02,-0.00,-1.04,28.11,2.41,0.64,0.04
23068,-0.02,-0.01,-1.04,28.06,2.28,0.63,0.27
23173,-0.03,-0.00,-1.04,28.11,2.36,0.71,0.20
23278,-0.02,0.00,-1.03,28.06,2.28,0.56,0.01
23383,-0.03,-0.00,-1.04,28.15,2.47,0.71,0.24
23487,-0.03,-0.01,-1.04,28.11,2.21,0.93,0.11
23591,-0.03,-0.00,-1.05,28.06,2.15,0.82,0.13
23696,-0.03,-0.01,-1.04,28.11,2.24,0.80,0.08
23800,-0.03,-0.01,-1.04,28.06,2.43,0.71,0.00
23905,-0.03,-0.00,-1.05,28.15,2.29,0.49,0.11
24009,-0.03,-0.01,-1.04,28.11,2.15,0.70,0.16
24114,-0.03,-0.00,-1.04,28.06,2.30,0.74,0.11
24219,-0.02,-0.00,-1.05,28.11,2.26,0.84,0.07
24324,-0.03,-0.01,-1.03,28.15,2.47,0.79,0.02
24428,-0.03,-0.01,-1.04,28.11,2.34,0.72,0.24
24532,-0.03,-0.01,-1.05,28.15,2.27,0.77,0.09
24637,-0.03,-0.01,-1.04,28.20,2.36,0.66,0.21
24741,-0.03,-0.00,-1.05,28.06,2.39,0.81,-0.02
24846,-0.03,-0.00,-1.04,28.11,2.36,0.72,0.05
24950,-0.03,-0.00,-1.04,28.06,2.18,0.73,0.11
25055,-0.02,0.00,-1.03,28.06,2.29,0.61,0.08
25160,-0.03,-0.01,-1.04,28.11,2.44,0.88,0.14
25265,-0.03,-0.01,-1.05,28.06,2.43,0.82,0.10
25369,-0.02,0.00,-1.03,28.11,2.28,0.73,0.17
25474,-0.02,-0.00,-1.04,28.11,2.21,0.76,0.02
25578,-0.02,-0.00,-1.05,28.11,2.34,0.80,0.15
25682,-0.03,-0.01,-1.04,28.11,2.21,0.85,0.03
25787,-0.03,-0.00,-1.05,28.15,2.25,0.77,-0.02
25891,-0.03,-0.01,-1.04,28.20,2.17,0.60,0.02
25996,-0.03,-0.00,-1.04,28.15,2.21,0.91,0.09
26101,-0.03,-0.01,-1.04,28.11,2.45,0.66,0.09
26206,-0.03,-0.00,-1.05,28.25,2.28,0.68,-0.07
26310,-0.03,-0.00,-1.05,28.15,2.22,0.68,0.15
26415,-0.03,-0.00,-1.05,28.01,2.44,0.72,0.04
26519,-0.02,-0.01,-1.04,28.06,2.53,0.61,0.10
26624,-0.03,0.00,-1.04,28.11,2.31,0.80,-0.02
26728,-0.03,-0.01,-1.05,28.06,2.40,0.78,0.14
26832,-0.02,-0.01,-1.04,28.11,2.27,0.72,-0.05
26938,-0.02,-0.01,-1.04,28.11,2.49,0.86,0.08
27042,-0.02,-0.00,-1.05,28.15,2.43,0.84,0.27
27147,-0.03,-0.01,-1.04,28.15,2.22,0.88,-0.01
27251,-0.03,-0.02,-1.04,28.11,2.24,0.76,0.16
27356,-0.03,-0.00,-1.05,28.15,2.24,0.75,0.11
27460,-0.03,-0.00,-1.05,28.20,2.34,0.89,0.28
27565,-0.03,0.00,-1.04,28.15,2.20,0.66,0.19
27669,-0.03,-0.00,-1.04,28.11,2.24,0.68,0.02
27773,-0.03,0.00,-1.04,28.11,2.30,0.69,0.06
27879,-0.02,-0.00,-1.05,28.25,2.30,0.72,0.03
27983,-0.03,-0.01,-1.04,28.11,2.38,0.71,0.13
28088,-0.03,-0.00,-1.04,28.15,2.24,0.75,0.16
28192,-0.03,-0.01,-1.04,28.11,2.34,0.80,0.17
