Timestamp,aX (g),aY (g),aZ (g),Temp (C),gX (�/s),gY (�/s),gZ (�/s)
15431,0.02,0.99,0.00,30.27,2.19,0.76,0.22
15536,-0.01,1.00,0.00,30.27,2.27,0.79,0.14
15640,-0.00,0.99,-0.00,30.22,2.21,0.84,0.00
15745,0.04,1.01,-0.00,30.27,2.08,0.68,0.12
15849,0.04,1.01,0.00,30.27,2.31,0.73,0.22
15953,0.03,1.00,0.00,30.22,2.33,0.73,0.19
16058,0.01,1.00,0.00,30.27,2.30,0.67,0.01
16162,0.03,1.01,0.00,30.37,2.13,0.66,-0.02
16267,0.03,1.01,0.01,30.32,2.15,0.80,-0.08
16371,0.02,1.00,0.00,30.32,2.36,0.76,0.11
16477,-0.01,0.99,-0.01,30.27,2.19,0.76,0.08
16581,0.01,1.00,0.01,30.22,2.33,0.66,0.01
16686,0.02,0.99,0.00,30.22,2.27,0.72,-0.11
16790,0.02,1.01,0.00,30.27,2.25,0.77,0.02
16894,0.02,1.00,0.00,30.27,2.34,0.60,-0.05
16999,-0.00,0.99,0.00,30.22,2.24,0.76,0.14
17103,-0.01,1.00,-0.00,30.27,2.24,0.79,0.08
17208,0.04,1.00,0.01,30.27,2.31,0.80,0.06
17312,0.02,1.00,0.01,30.22,2.30,0.79,0.02
17417,0.03,1.00,0.00,30.22,2.40,0.89,0.12
17521,-0.00,1.00,0.00,30.27,2.50,0.68,0.18
17627,0.04,1.01,0.00,30.27,2.29,0.72,0.14
17731,-0.01,0.99,-0.00,30.32,2.33,0.80,0.17
17836,-0.00,1.00,-0.01,30.37,2.31,0.82,0.17
17940,-0.00,0.99,0.00,30.27,2.46,0.54,0.07
18044,-0.00,0.99,0.02,30.32,2.21,0.62,0.18
18149,0.04,1.00,0.01,30.27,2.20,0.73,0.10
18253,0.04,1.01,0.00,30.27,2.25,0.81,0.25
18358,0.01,1.00,0.00,30.32,2.27,0.81,0.07
18462,0.02,1.00,0.00,30.32,2.14,0.68,0.05
18567,-0.00,1.00,-0.00,30.27,2.40,0.60,0.00
18672,0.03,1.01,-0.00,30.37,1.99,0.69,-0.03
18777,0.04,1.01,-0.00,30.22,1.95,0.84,-0.07
18881,0.02,1.00,0.01,30.18,2.10,0.59,0.28
18985,0.04,1.01,0.00,30.37,1.95,0.84,0.12
19090,-0.00,1.00,0.00,30.41,2.04,0.67,-0.01
19194,0.00,0.99,0.00,30.37,2.40,0.68,0.11
19299,0.04,1.00,0.00,30.41,2.47,0.77,0.06
