Timestamp,aX (g),aY (g),aZ (g),Temp (C),gX (�/s),gY (�/s),gZ (�/s)
18987,1.02,0.00,-0.01,29.33,2.48,0.71,0.08
19091,1.01,0.00,-0.02,29.33,2.18,0.69,0.12
19195,1.03,0.01,-0.01,29.38,2.35,0.78,0.13
19300,1.02,0.01,-0.01,29.28,2.40,0.72,0.13
19404,1.00,-0.00,-0.02,29.38,2.13,0.72,0.11
19510,1.03,0.00,-0.02,29.28,2.13,0.69,0.07
19614,1.02,0.00,-0.01,29.38,2.26,0.63,-0.09
19719,1.01,0.00,-0.01,29.28,2.31,0.72,0.14
19823,1.03,0.01,-0.01,29.33,2.16,0.86,0.08
19928,1.03,0.01,-0.02,29.33,2.32,0.92,0.05
20032,1.01,-0.01,-0.01,29.33,2.31,0.86,0.08
20136,1.02,0.01,-0.01,29.33,2.44,0.72,-0.13
20241,1.03,0.00,-0.02,29.33,2.32,0.73,0.06
20345,1.03,0.01,-0.01,29.38,2.17,0.80,0.10
20450,1.01,-0.00,-0.01,29.19,2.41,0.71,0.03
20555,1.01,0.00,-0.01,29.33,2.18,0.82,0.23
20660,1.02,-0.00,-0.01,29.24,2.02,0.73,0.32
20764,1.02,0.01,-0.01,29.24,2.37,0.70,0.18
20869,1.02,-0.00,-0.02,29.38,2.34,0.83,0.02
20973,1.02,0.01,-0.01,29.19,2.14,0.66,0.02
21078,1.01,0.00,-0.00,29.28,2.45,0.82,0.22
21182,1.02,0.00,-0.00,29.33,2.24,0.68,0.12
21286,1.01,-0.00,-0.02,29.24,2.34,0.65,0.00
21391,1.02,0.01,-0.02,29.47,2.29,0.64,0.08
21495,1.03,0.00,-0.01,29.33,2.37,0.87,0.15
21601,1.02,0.00,-0.01,29.38,2.17,0.68,0.27
21705,1.04,0.01,-0.02,29.33,2.23,0.98,0.06
21810,1.02,0.01,-0.02,29.33,2.25,0.82,0.12
21914,1.03,0.01,-0.02,29.33,2.16,0.74,0.00
22019,1.03,0.00,-0.03,29.38,2.31,0.84,-0.02
22123,1.02,0.00,-0.01,29.38,2.35,0.76,-0.09
22227,1.03,0.01,-0.01,29.38,2.31,0.85,0.11
22332,1.02,0.00,-0.01,29.33,2.36,0.88,0.07
22436,1.01,-0.00,-0.02,29.42,2.29,0.68,0.17
22541,1.01,0.00,-0.01,29.38,2.24,0.73,0.00
22646,1.03,0.00,-0.01,29.24,2.17,0.65,0.05
22751,1.02,0.00,-0.01,29.33,2.27,0.94,0.18
22855,1.02,0.01,-0.01,29.42,2.18,0.63,0.05
22960,1.02,0.00,-0.02,29.38,2.21,0.78,0.21
23064,1.02,0.00,-0.02,29.38,2.39,0.74,0.12
23169,1.02,0.00,-0.01,29.28,2.24,0.73,0.08
23273,1.03,0.01,-0.01,29.24,2.23,0.79,0.21
23377,1.01,0.01,-0.01,29.42,2.26,0.85,0.07
23482,1.04,0.01,-0.01,29.38,2.32,0.79,-0.10
23586,1.00,0.01,-0.01,29.28,2.35,0.60,0.11
23692,1.02,0.01,-0.01,29.28,2.14,0.73,0.05
23796,1.01,0.00,-0.02,29.33,2.50,0.69,0.03
23901,1.03,0.01,-0.02,29.33,2.22,0.80,-0.14
24005,1.01,0.00,-0.01,29.33,2.24,0.69,0.02
24110,1.01,-0.00,-0.02,29.33,2.28,0.66,0.00
24214,1.02,0.00,-0.02,29.42,2.37,0.55,0.10
24318,1.02,0.00,-0.01,29.38,2.26,0.66,0.05
24423,1.03,0.00,-0.02,29.38,2.35,0.66,0.18
24527,1.01,0.00,-0.01,29.42,2.31,0.80,0.22
24632,1.02,0.01,-0.02,29.33,2.14,0.59,-0.05
24737,1.02,-0.00,-0.01,29.33,2.32,0.87,0.13
24842,1.02,-0.00,-0.01,29.28,2.45,0.71,0.15
24946,1.02,0.01,-0.02,29.33,2.38,0.84,0.21
25051,1.02,0.00,-0.02,29.38,2.16,0.71,0.24
25155,1.02,0.00,-0.01,29.33,2.09,0.75,0.24
25260,1.01,0.01,-0.03,29.33,2.34,0.79,0.13
25364,1.03,0.01,-0.01,29.33,2.21,0.83,0.04
25468,1.03,0.01,-0.02,29.47,2.30,0.71,0.02
25573,1.02,0.01,-0.02,29.38,2.39,0.79,0.05
25678,1.02,-0.00,-0.02,29.38,2.21,0.62,0.01
25783,1.02,0.00,-0.01,29.38,2.28,0.69,0.12
25887,1.02,-0.00,-0.01,29.42,2.37,0.80,0.08
25992,1.01,-0.00,-0.02,29.33,2.26,0.93,0.15
26096,1.03,0.01,-0.02,29.38,2.19,0.71,0.13
26201,1.01,0.00,-0.02,29.57,2.36,0.47,0.27
26305,1.02,0.00,-0.01,29.47,2.24,0.94,0.02
26409,1.03,0.00,-0.01,29.38,2.35,0.74,0.18
26514,1.03,0.01,-0.02,29.42,2.41,0.63,0.09
