timestamp,Filtered_X,Filtered_Y,Filtered_Z
38887,-0.05253161853188751,-0.05435935739486604,-0.5880329396728212
38935,-0.052662785302608914,-0.05449451440737905,-0.5894178311089598
38983,-0.052794279767910124,-0.05463000212378727,-0.5908044211171734
39030,-0.052926091740911396,-0.05476580476819611,-0.5921928517456946
39077,-0.0530582040221737,-0.05490189837325206,-0.5935831035621842
39124,-0.05319060866202846,-0.055038275236733734,-0.5949750141246657
39171,-0.0533232834044344,-0.05517491379535762,-0.5963685618698553
39218,-0.05345621256507259,-0.055311798853006335,-0.5977637308958942
39266,-0.053589410292637626,-0.05544895882990659,-0.5991605432098427
39314,-0.05372287570204875,-0.05558639286852727,-0.6005591533996668
39359,-0.05385657127450001,-0.05572404990596547,-0.6019595188921562
39405,-0.05399046796889299,-0.05586190908858017,-0.6033616101658471
39452,-0.05412453764808366,-0.05599994315504462,-0.604765399959413
39497,-0.05425876761775129,-0.05613813980617074,-0.6061708759736657
39546,-0.05439317477863409,-0.056276522719908836,-0.607578055275015
39596,-0.05452775957342007,-0.05641508504166446,-0.6089870902637682
39643,-0.054662513703428874,-0.056553811427791284,-0.6103978174680643
39691,-0.05479742597813971,-0.05669269103609283,-0.61180992283551
39737,-0.054932472392888496,-0.05683170789259469,-0.6132235364640634
39784,-0.05506765334171179,-0.05697087423194855,-0.6146386615552677
39831,-0.055202988342764284,-0.057110213534149995,-0.616055168600715
39879,-0.055338490332748756,-0.057249726480344355,-0.6174730651980213
39927,-0.055474167276313546,-0.057389416217889316,-0.618892507482948
39975,-0.055610006417856135,-0.05752927038822254,-0.6203136378366881
40022,-0.05574601012395645,-0.05766929133697215,-0.6217364640864249
40070,-0.05588220988745684,-0.05780951687998808,-0.6231610174364678
40118,-0.0560186260244834,-0.05794996527090589,-0.6245871615025923
40166,-0.05615527821878769,-0.058090655580786306,-0.6260149153558592
40214,-0.05629216193059848,-0.05823157750506725,-0.6274442738927161
40260,-0.05642925227593469,-0.058372699631047825,-0.6288750575722473
40306,-0.05656652235063312,-0.058513995892003436,-0.6303073929508458
40352,-0.0567039665734873,-0.05865546818372906,-0.6317414300525216
40400,-0.05684160141389125,-0.058797139746483366,-0.6331771834497105
40449,-0.05697943550555013,-0.05893901892545875,-0.6346146594313231
40496,-0.05711746404417745,-0.05908109966815708,-0.6360537006927574
40543,-0.05725566921256085,-0.05922335742845454,-0.6374941366159567
40589,-0.05739402502727564,-0.05936575384267907,-0.6389360967521882
40634,-0.057532526786013546,-0.059508284354889876,-0.6403797312852667
40682,-0.057671196392267476,-0.05965098934295272,-0.6418249109418187
40730,-0.05781006248301872,-0.05979390388868844,-0.6432716676173977
40778,-0.0579491555575463,-0.059937052992429796,-0.644720181357022
40825,-0.05808850050536186,-0.06008046210685457,-0.6461706254289089
40873,-0.058228121441247914,-0.060224154596130994,-0.6476230231972265
40922,-0.058368036193350244,-0.06036814496546175,-0.6490770867137783
40969,-0.05850824154936465,-0.0605124227992544,-0.650532657434757
41015,-0.058648715307867284,-0.06065696068104372,-0.6519898636912984
41061,-0.05878943456054668,-0.060801736415579025,-0.6534488359513807
41108,-0.05893040220905032,-0.06094675875418509,-0.6549094307097905
41155,-0.05907164294817036,-0.06109205892626273,-0.6563716746609142
41203,-0.059213168769792296,-0.061237648496182816,-0.657835573782261
41251,-0.05935499450596813,-0.06138354047104339,-0.6593009933594048
41298,-0.059497143247880475,-0.06152975864080122,-0.6607681104906885
41347,-0.059639612264467755,-0.06167630170291066,-0.6622370695388083
41394,-0.059782377026213925,-0.061823138588102525,-0.6637078439695094
41440,-0.05992542833413256,-0.06197026038372474,-0.6651804248701396
41487,-0.060068752740283345,-0.062117648154328305,-0.6666546493698471
41533,-0.06021234174401158,-0.06226529228645217,-0.6681303586988661
41582,-0.060356198921458305,-0.06241321079950546,-0.6696078588271317
41628,-0.06050033053180632,-0.06256141115502073,-0.6710873084287632
41676,-0.06064473536250057,-0.06270988352970326,-0.6725685536653427
41723,-0.0607893858335416,-0.06285859389875204,-0.6740514145004922
41771,-0.060934277106868606,-0.06300754487797598,-0.6755358890150064
41818,-0.061079401700274746,-0.0631567292180649,-0.6770221225826926
41865,-0.0612247450413993,-0.06330613278047423,-0.6785100990087243
41913,-0.061370322211397786,-0.06345577748020921,-0.6799998335965662
41960,-0.061516155145049184,-0.06360568458906465,-0.6814913496742951
42008,-0.06166223868918728,-0.0637558418109988,-0.6829844889342922
42056,-0.061808561899384315,-0.06390623989386215,-0.6844793913473488
42104,-0.06195513184947516,-0.06405688569130423,-0.6859760616504768
42151,-0.06210195859109875,-0.06420779214007875,-0.6874742085128034
42200,-0.06224903870714483,-0.06435895592943892,-0.6889739812868108
42247,-0.06239637485397461,-0.06451037372017798,-0.6904753839564537
42294,-0.06254397100321084,-0.06466204936029507,-0.6919782677065024
42340,-0.06269180590595445,-0.06481395632230379,-0.6934827582660087
42387,-0.06283986485367973,-0.06496608763241664,-0.6949889940475041
42433,-0.06298812627922641,-0.06511842239478853,-0.69649695623167
42480,-0.06313656928674935,-0.06527093308708369,-0.6980066238807167
42527,-0.06328521434257302,-0.06542364824470268,-0.6995181735206419
42576,-0.06343406345598394,-0.0655765638743934,-0.7010314614740114
42621,-0.06358309245534864,-0.06572966244415325,-0.7025463076248525
42670,-0.06373229574140575,-0.06588295174591359,-0.7040628528647327
42717,-0.06388166061227063,-0.0660364048797851,-0.7055810828106089
42763,-0.06403116016805396,-0.06618998850627408,-0.7071009734764241
42809,-0.06418076974411736,-0.06634367872847168,-0.7086223483020402
42855,-0.06433048003692478,-0.06649746653243047,-0.7101451955046196
42903,-0.0644803025180469,-0.06665137033592543,-0.7116696816301522
42950,-0.06463023370860914,-0.06680538676836795,-0.7131958060769394
42996,-0.0647802702380229,-0.06695951256408483,-0.7147235655793083
43044,-0.06493042343398779,-0.0671137514212715,-0.7162529690358375
43090,-0.06508068377930602,-0.06726808092994303,-0.7177838524996556
43137,-0.06523102006413144,-0.06742247812862363,-0.7193161912678985
43183,-0.06538142254238143,-0.06757694676362076,-0.7208501306237602
43230,-0.0655319155724229,-0.06773151634120413,-0.7223855387903879
43278,-0.06568250086436994,-0.06788618849848381,-0.7239224153486098
43325,-0.06583316098599824,-0.06804094043974454,-0.7254608932503115
43372,-0.06598390093774814,-0.06819577702955304,-0.7270009794163417
43419,-0.06613472556441259,-0.06835070296189971,-0.7285426785406909
43465,-0.06628563955998203,-0.0685057227846664,-0.7300859951712407
43513,-0.06643666935580175,-0.06866086940975388,-0.731630957684878
43561,-0.06658781136056945,-0.06881613205436855,-0.7331775619103494
43609,-0.06673904021130482,-0.06897147884171996,-0.734725780505879
43656,-0.06689035320477695,-0.06912690715271995,-0.7362756087758521
43704,-0.06704176685168779,-0.06928244483702654,-0.7378269149902269
43751,-0.06719328987190525,-0.06943810034308663,-0.7393795542284798
43798,-0.06734491297524636,-0.06959385870275973,-0.74093351325877
43845,-0.06749664176725474,-0.06974973265038396,-0.7424889536493919
43892,-0.06764847576610761,-0.06990571583338445,-0.7440458763445795
43938,-0.06780039262151627,-0.07006177929388717,-0.745604256921473
43984,-0.06795240029750539,-0.07021793668801882,-0.7471641073262523
44033,-0.06810449918056208,-0.07037419569351316,-0.7487254307016367
44079,-0.06825666454824515,-0.0705305264174617,-0.7502883494112559
44126,-0.06840889293994534,-0.07068692408944546,-0.7518527053763051
44174,-0.06856120288623428,-0.07084341396651676,-0.7534185193188225
44221,-0.06871361373864088,-0.07100001619560807,-0.7549859626378446
44269,-0.06886614149267092,-0.07115675082394086,-0.756554900335907
44317,-0.06901881224340842,-0.07131364777148748,-0.7581252127993309
44365,-0.06917163942080251,-0.07147071547419644,-0.7596970607668547
44412,-0.06932461815580301,-0.07162794457083917,-0.7612705837252873
44460,-0.06947773644741437,-0.07178532344056487,-0.7628457707393917
44507,-0.06963098266819275,-0.07194283941990866,-0.7644224578804194
44554,-0.06978436011962459,-0.0721004957075925,-0.7660006483470924
44602,-0.06993789400907717,-0.07225831818361125,-0.7675805254518581
44650,-0.07009161929578003,-0.07241633937552107,-0.7691619760570304
44698,-0.07024554784215101,-0.07257457071719639,-0.770745005429315
44744,-0.07039968513357966,-0.07273301748938756,-0.7723296153583994
44792,-0.07055405113079817,-0.07289170640068937,-0.7739158300266105
44840,-0.07070863876765544,-0.07305062469879782,-0.7755037945057714
44887,-0.07086341926835864,-0.07320973714103449,-0.7770934767650859
44934,-0.07101839395273758,-0.07336905230942396,-0.7786848787750377
44982,-0.0711735772687927,-0.07352858280449433,-0.780277861884051
45029,-0.07132895680961819,-0.07368830930224941,-0.7818722607565525
45075,-0.0714845264809432,-0.07384822591846253,-0.7834680716041147
45123,-0.07164030402970553,-0.07400836170054757,-0.7850653144410431
45171,-0.0717962948382407,-0.07416871595720645,-0.7866641436312767
45217,-0.07195250687502301,-0.07432929185927749,-0.7882647173903393
45265,-0.07210894786049424,-0.07449009688689034,-0.7898670431983607
45314,-0.0722656326768758,-0.0746511454919699,-0.7914711389325388
45361,-0.07242256113660073,-0.07481243018951078,-0.7930770078717716
45407,-0.07257970377238517,-0.07497391509323424,-0.794684615239521
45453,-0.07273704664071898,-0.07513560127383268,-0.7962939447580305
45500,-0.07289460551766307,-0.07529751135252492,-0.7979050179387777
45547,-0.07305238703973864,-0.07545964448234901,-0.7995179938753163
45594,-0.0732103756282484,-0.07562197823330649,-0.8011326978784186
45641,-0.07336855024451877,-0.07578449222158884,-0.8027489589771964
45687,-0.0735268905047412,-0.07594717397477876,-0.8043669107912933
45734,-0.07368539852987122,-0.07611002554781338,-0.8059865532991198
45783,-0.07384409098139942,-0.07627306310993237,-0.8076079054118115
45831,-0.07400297084632419,-0.07643628955515865,-0.8092308173601622
45877,-0.07416202641211488,-0.07659969350916752,-0.8108552750279515
45925,-0.07432126402197639,-0.07676328702381979,-0.8124812873826683
45973,-0.07448070442822394,-0.07692709023184577,-0.8141088772989387
46020,-0.07464034133165005,-0.07709109112401259,-0.8157381905916569
46066,-0.07480016862912098,-0.0772552837871571,-0.8173692213476599
46114,-0.07496018912188174,-0.07741967093533074,-0.8190018175412438
46159,-0.07512037632405746,-0.07758421960380053,-0.8206359528192162
46205,-0.07528069585978375,-0.07774889648671028,-0.8222717486154764
46252,-0.07544114360995,-0.07791369759316384,-0.823909200939128
46300,-0.07560174478358636,-0.07807865465079347,-0.8255483349062629
46347,-0.07576249461830274,-0.07824376304544668,-0.8271891459027285
46395,-0.07592335930002035,-0.07840898271228963,-0.8288316004752315
46441,-0.07608432653951949,-0.07857430174462582,-0.8304755319773202
46488,-0.07624540630697947,-0.07873973708579848,-0.8321209486845151
46536,-0.0764066141819097,-0.07890530383037785,-0.8337678678080243
46585,-0.07656794616317919,-0.07907098491217297,-0.8354161349375501
46632,-0.07672939385906836,-0.07923677948417404,-0.8370658931813779
46680,-0.07689096095126258,-0.07940270429647665,-0.8387172959480961
46728,-0.07705265553554357,-0.07956876581546345,-0.8403702005477824
46776,-0.07721450006225138,-0.07973498581903561,-0.842024631500234
46823,-0.0773765190772757,-0.07990138948622723,-0.8436807651970715
46872,-0.0775387217559195,-0.08006797840346731,-0.8453384543907675
46919,-0.07770109509783199,-0.08023472538828376,-0.8469976844095742
46965,-0.07786361191394804,-0.08040160409791806,-0.84865858435623
47010,-0.0780262793209868,-0.08056864616172195,-0.8503213212404462
47058,-0.07818911153061003,-0.08073586534899463,-0.8519859067549957
47105,-0.07835210341964538,-0.08090324652888461,-0.8536521758216612
47152,-0.07851526458480101,-0.08107080628288893,-0.8553201384306437
47200,-0.07867859704056798,-0.08123854655620107,-0.8569897958415228
47248,-0.07884211333619877,-0.0814064841445993,-0.8586610153164256
47296,-0.07900581975136409,-0.08157461785537877,-0.860333650276328
47342,-0.07916968989592725,-0.08174291019919547,-0.8620078214333601
47388,-0.07933372614805687,-0.08191137819212806,-0.8636836920536631
47437,-0.07949795268877274,-0.08208005254602328,-0.8653612841812613
47484,-0.07966236360160661,-0.08224891281663853,-0.8670405837850783
47533,-0.07982693859383758,-0.0824179320593959,-0.8687215705118324
47579,-0.0799916770934989,-0.08258711562623122,-0.8704040939658585
47627,-0.08015659310684027,-0.08275648437092846,-0.8720881684096442
47674,-0.08032171040058972,-0.08292606275055109,-0.8737739729381131
47722,-0.08048706678609376,-0.0830958948279338,-0.8754615517922297
47770,-0.08065267688911013,-0.08326598743736723,-0.8771509122236619
47817,-0.08081852552873953,-0.08343631844205211,-0.8788420319174804
47864,-0.08098459071311138,-0.08360687381815592,-0.8805348909509205
47911,-0.0811508657216699,-0.08377765437736225,-0.882229484888671
47960,-0.08131734404964122,-0.0839486465338666,-0.8839258067362235
48005,-0.08148401936835707,-0.08411982954943792,-0.8856238475936378
48053,-0.08165088554613986,-0.08429119748325768,-0.8873236015200955
48100,-0.08181793664876415,-0.08446275186931648,-0.889025063458291
48147,-0.08198518881018099,-0.08463451564264501,-0.8907282518082409
48195,-0.08215266498519481,-0.08480651106331345,-0.8924331908862971
